
State ID,State Name,Year ID,Year,Population,State Slug,Population Change

04000US01,Alabama,2020,2020,4893186,alabama, (%)
04000US02,Alaska,2020,2020,736990,alaska,-4156196 (-84.94%)
04000US04,Arizona,2020,2020,7174064,arizona,6437074 (873.43%)
04000US05,Arkansas,2020,2020,3011873,arkansas,-4162191 (-58.02%)
04000US06,California,2020,2020,39346023,california,36334150 (1206.36%)
04000US08,Colorado,2020,2020,5684926,colorado,-33661097 (-85.55%)
04000US09,Connecticut,2020,2020,3570549,connecticut,-2114377 (-37.19%)
04000US10,Delaware,2020,2020,967679,delaware,-2602870 (-72.9%)
04000US11,District of Columbia,2020,2020,701974,district-of-columbia,-265705 (-27.46%)
04000US12,Florida,2020,2020,21216924,florida,20514950 (2922.47%)
04000US13,Georgia,2020,2020,10516579,georgia,-10700345 (-50.43%)
04000US15,Hawaii,2020,2020,1420074,hawaii,-9096505 (-86.5%)
04000US16,Idaho,2020,2020,1754367,idaho,334293 (23.54%)
04000US17,Illinois,2020,2020,12716164,illinois,10961797 (624.83%)
04000US18,Indiana,2020,2020,6696893,indiana,-6019271 (-47.34%)
04000US19,Iowa,2020,2020,3150011,iowa,-3546882 (-52.96%)
04000US20,Kansas,2020,2020,2912619,kansas,-237392 (-7.54%)
04000US21,Kentucky,2020,2020,4461952,kentucky,1549333 (53.19%)
04000US22,Louisiana,2020,2020,4664616,louisiana,202664 (4.54%)
04000US23,Maine,2020,2020,1340825,maine,-3323791 (-71.26%)
04000US24,Maryland,2020,2020,6037624,maryland,4696799 (350.29%)
04000US25,Massachusetts,2020,2020,6873003,massachusetts,835379 (13.84%)
04000US26,Michigan,2020,2020,9973907,michigan,3100904 (45.12%)
04000US27,Minnesota,2020,2020,5600166,minnesota,-4373741 (-43.85%)
04000US28,Mississippi,2020,2020,2981835,mississippi,-2618331 (-46.75%)
04000US29,Missouri,2020,2020,6124160,missouri,3142325 (105.38%)
04000US30,Montana,2020,2020,1061705,montana,-5062455 (-82.66%)
04000US31,Nebraska,2020,2020,1923826,nebraska,862121 (81.2%)
04000US32,Nevada,2020,2020,3030281,nevada,1106455 (57.51%)
04000US33,New Hampshire,2020,2020,1355244,new-hampshire,-1675037 (-55.28%)
04000US34,New Jersey,2020,2020,8885418,new-jersey,7530174 (555.63%)
04000US35,New Mexico,2020,2020,2097021,new-mexico,-6788397 (-76.4%)
04000US36,New York,2020,2020,19514849,new-york,17417828 (830.6%)
04000US37,North Carolina,2020,2020,10386227,north-carolina,-9128622 (-46.78%)
04000US38,North Dakota,2020,2020,760394,north-dakota,-9625833 (-92.68%)
04000US39,Ohio,2020,2020,11675275,ohio,10914881 (1435.42%)
04000US40,Oklahoma,2020,2020,3949342,oklahoma,-7725933 (-66.17%)
04000US41,Oregon,2020,2020,4176346,oregon,227004 (5.75%)
